순위,업소명,주소,분류,합산 검색 수,정보
24,청와옥올림픽공원점,서울 송파구 위례성대로 48-0,한식,30340,"https://map.naver.com/v5/search/%EC%B2%AD%EC%99%80%EC%98%A5%EC%98%AC%EB%A6%BC%ED%94%BD%EA%B3%B5%EC%9B%90%EC%A0%90/place/1111611853?c=14148787.9920903,4511197.0035000,13,0,0,0,dh&isCorrectAnswer=true"
25,스타벅스구의DT점,서울 광진구 광나루로 519-0,카페/찻집,30302,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EA%B5%AC%EC%9D%98DT%EC%A0%90/place/36636853?c=14148787.9920903,4511197.0035000,13,0,0,0,dh&isCorrectAnswer=true"
26,압구정공주떡,서울 강남구 논현로161길 10-0,간이음식,30252,"https://map.naver.com/v5/search/%EC%95%95%EA%B5%AC%EC%A0%95%EA%B3%B5%EC%A3%BC%EB%96%A1?c=14145414.6402835,4515375.3341207,13,0,0,0,dh&isCorrectAnswer=true"
27,방배동카페골목,서울 서초구,음식점기타,30083,"https://map.naver.com/v5/search/%EB%B0%A9%EB%B0%B0%EB%8F%99%EC%B9%B4%ED%8E%98%EA%B3%A8%EB%AA%A9?c=14135929.1603795,4508277.7991982,15,0,0,0,dh&isCorrectAnswer=true"
28,애플하우스이수점,서울 동작구 동작대로27다길 29-0,간이음식,28992,"https://map.naver.com/v5/search/%EC%95%A0%ED%94%8C%ED%95%98%EC%9A%B0%EC%8A%A4%EC%9D%B4%EC%88%98%EC%A0%90/place/12873924?c=14135392.0127459,4507101.3805043,19,0,0,0,dh&isCorrectAnswer=true"
29,스타벅스망원한강공원점,서울 마포구 마포나루길 407-0,카페/찻집,28955,"https://map.naver.com/v5/search/%EC%8A%A4%ED%83%80%EB%B2%85%EC%8A%A4%EB%A7%9D%EC%9B%90%ED%95%9C%EA%B0%95%EA%B3%B5%EC%9B%90%EC%A0%90/place/1008259968?c=14135392.0127459,4507101.3805043,19,0,0,0,dh&isCorrectAnswer=true"
30,더숲초소책방,서울 종로구 인왕산로 172-0,카페/찻집,28704,"https://map.naver.com/v5/search/%EB%8D%94%EC%88%B2%EC%B4%88%EC%86%8C%EC%B1%85%EB%B0%A9/place/1602048207?c=14125934.2046035,4516690.1380054,18,0,0,0,dh&isCorrectAnswer=true"
31,카페노티드청담,서울 강남구 도산대로53길 15-0,카페/찻집,28434,"https://map.naver.com/v5/search/%EC%B9%B4%ED%8E%98%EB%85%B8%ED%8B%B0%EB%93%9C%EC%B2%AD%EB%8B%B4/place/895457986?c=14134376.7692080,4512426.6016013,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
32,대도식당본점,서울 성동구 무학로12길 3-0,한식,28416,"https://map.naver.com/v5/search/%EB%8C%80%EB%8F%84%EC%8B%9D%EB%8B%B9%EB%B3%B8%EC%A0%90/place/11679517?c=14134376.7692080,4512426.6016013,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
33,맥도날드양재SK DT점,서울 서초구 바우뫼로 178-0,간이음식,27850,"https://map.naver.com/v5/search/%EB%8C%80%EB%8F%84%EC%8B%9D%EB%8B%B9%EB%B3%B8%EC%A0%90/place/11679517?c=14134376.7692080,4512426.6016013,11,0,0,0,dh&placePath=%3Fentry%253Dbmp"
