순위,업소명,주소,분류,합산 검색 수
90,맥도날드가락DT점,서울 송파구 동남로 196-0,간이음식,19365
91,돈까스잔치동빙고점,서울 용산구 서빙고로 297-0,전문음식,19348
92,맥도날드서초GS점,서울 서초구 효령로49길 52-0,간이음식,19346
93,어머니대성집,서울 동대문구 왕산로11길 4-0,한식,19304
94,아웃백스테이크하우스공항점,서울 강서구 마곡중앙6로 16-0,전문음식,19239
95,진주회관,서울 중구 세종대로11길 26-0,한식,19189
96,군산오징어본점,서울 송파구 삼학사로 101-0,전문음식,18972
97,북한산제빵소,서울 은평구 연서로48길 52-0,간이음식,18957
98,태극당장충본점,서울 중구 동호로24길 7-0,간이음식,18896
99,맥도날드종암SK DT점,서울 성북구 종암로 58-0,간이음식,18881
100,진주집,서울 영등포구 국제금융로6길 33-0,한식,18858
101,강강술래당산점,서울 영등포구 선유로 251-0,한식,18853
102,유천냉면본점,서울 송파구 강동대로3길 22-0,한식,18820
103,코끼리베이글한남점,서울 용산구 서빙고로91길 10-0,카페/찻집,18778
104,홍능갈비집본점,서울 동대문구 제기로 85-0,한식,18754
105,울프강스테이크하우스,서울 강남구 선릉로152길 21-0,전문음식,18601
106,홍대입구,서울 마포구,음식점기타,18567
107,성북동빵공장,서울 성북구 대사관로 40-0,간이음식,18499
108,버드나무집서초본점,서울 서초구 효령로 434-0,한식,18424
109,오장동흥남집본점,서울 중구 마른내로 114-0,한식,18318
110,스타벅스화곡DT점,서울 강서구 등촌로 57-0,카페/찻집,18303
111,스타벅스낙성대DT점,서울 관악구 남부순환로 1948-0,카페/찻집,18281
112,나폴레옹과자점본점,서울 성북구 성북로 7-0,간이음식,18096
113,VIPS프리미어등촌점,서울 강서구 공항대로 311-0,전문음식,17994
114,장꼬방김치찌개전문,서울 서초구 효령로 364-0,한식,17743
115,쿠우쿠우보라매공원점,서울 동작구 보라매로5가길 16-0,전문음식,17660
116,한우리본점,서울 강남구 도산대로 304-0,한식,17630
117,마루심본점,서울 서초구 고무래로10길 10-0,전문음식,17622
118,VIPS어린이대공원점,서울 광진구 광나루로 410-0,전문음식,17522
119,김영모과자점도곡타워점,서울 강남구 언주로30길 10-0,간이음식,17518
120,하누소창동본점,서울 도봉구 노해로 327-0,한식,17419
121,리치몬드과자점성산본점,서울 마포구 월드컵북로 86-0,간이음식,17126
122,더아리엘목동점,서울 양천구 오목로 300-0,전문음식,16897
123,우래옥강남점,서울 강남구 영동대로 313-0,한식,16727
124,스타벅스신림DT점,서울 관악구 남부순환로 1419-0,카페/찻집,16585
125,경복궁방이점 [한식],서울 송파구 올림픽로 348-0,한식,16561
126,성수족발,서울 성동구 아차산로7길 7-0,전문음식,16523
127,스타벅스강동암사DT점,서울 강동구 고덕로 43-0,카페/찻집,16444
128,연희동손칼국수본점,서울 서대문구 연희맛로 37-0,한식,16387
129,옛골토성청계산점,서울 서초구 청계산로 434-0,전문음식,16365
130,스타벅스신월IC DT점,서울 양천구 남부순환로 430-0,카페/찻집,16290
131,스타벅스송파마천사거리DT점,서울 송파구 거마로 78-0,카페/찻집,16207
132,마켓오도곡점,서울 강남구 남부순환로 2745-0,전문음식,16141
133,아웃백스테이크하우스천호점,서울 강동구 올림픽로 660-0,전문음식,16085
134,성북동메밀수제비누룽지백숙,서울 성북구 성북로31길 9-0,한식,15910
135,자하손만두,서울 종로구 백석동길 12-0,한식,15564
136,아이러브신당동,서울 중구 퇴계로76길 50-0,간이음식,15313
137,고센클래식,서울 강남구 선릉로158길 18-0,카페/찻집,15129
